date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location,label
2/2/2018,12,4,0,9.6,3,81,9:53 PM,10:28 AM,9:00 AM,6:58 PM,2,6,7,6,15,54,69,0.6,1024,12,9,164,9,83706,1
2/3/2018,13,6,0,10,3,73,11:02 PM,11:01 AM,8:59 AM,6:59 PM,4,7,9,7,22,31,74,0.1,1023,13,10,318,13,83706,1
2/4/2018,14,5,0,10.4,3,66,No moonrise,11:32 AM,8:58 AM,7:00 PM,4,7,9,7,15,34,73,0.3,1021,14,10,307,9,83706,1
2/5/2018,10,4,0,10.5,3,58,12:09 AM,12:01 PM,8:56 AM,7:02 PM,1,5,7,5,21,15,68,0.1,1019,10,10,317,12,83706,1
2/6/2018,7,1,0,10.5,2,51,1:13 AM,12:30 PM,8:55 AM,7:03 PM,-2,2,4,2,17,20,65,0,1024,7,10,284,10,83706,0
2/7/2018,11,3,0,10.5,3,43,2:15 AM,1:00 PM,8:54 AM,7:05 PM,-2,5,6,5,11,19,59,0,1029,11,10,139,6,83706,0
2/8/2018,15,6,0,10.5,3,36,3:16 AM,1:34 PM,8:53 AM,7:06 PM,0,8,9,8,15,17,52,0,1023,15,10,143,8,83706,0
2/9/2018,8,4,0,10.6,3,28,4:13 AM,2:10 PM,8:51 AM,7:07 PM,-1,4,7,4,24,10,59,0,1018,8,10,312,15,83706,0
2/10/2018,4,-1,0,10.6,2,20,5:09 AM,2:50 PM,8:50 AM,7:09 PM,-8,-3,1,-3,25,4,51,0,1022,4,10,313,17,83706,0
2/11/2018,5,0,0.1,6.9,1,13,6:01 AM,3:36 PM,8:49 AM,7:10 PM,-11,-1,1,-1,17,70,41,0.1,1016,5,10,147,11,83706,1
2/12/2018,4,-2,0.3,10.6,2,5,6:48 AM,4:25 PM,8:47 AM,7:11 PM,-6,-3,0,-3,18,50,64,0.3,1016,4,9,304,13,83706,1
2/13/2018,4,-3,0,10.7,2,0,7:32 AM,5:20 PM,8:46 AM,7:13 PM,-10,-1,0,-1,8,4,46,0,1027,4,10,211,5,83706,0
2/14/2018,4,0,2.3,6.9,2,0,8:10 AM,6:17 PM,8:44 AM,7:14 PM,-5,-2,1,-2,23,53,65,2.7,1019,4,8,190,13,83706,1
2/15/2018,2,-3,0,10.7,2,0,8:45 AM,7:17 PM,8:43 AM,7:16 PM,-6,-5,-1,-5,18,21,71,0,1028,2,10,276,12,83706,0
2/16/2018,3,-2,0.2,8.5,2,2,9:18 AM,8:18 PM,8:41 AM,7:17 PM,-7,-3,0,-3,12,44,61,0.2,1028,3,10,128,7,83706,1
2/17/2018,7,-1,0,8.5,2,10,9:47 AM,9:21 PM,8:40 AM,7:18 PM,-1,0,3,0,18,48,77,1.5,1018,7,9,186,10,83706,1
2/18/2018,6,-2,1.1,10.8,2,17,10:15 AM,10:25 PM,8:38 AM,7:20 PM,-3,-2,2,-2,27,33,68,2,1006,6,9,300,17,83706,1
2/19/2018,-2,-8,0,10.8,2,25,10:44 AM,11:30 PM,8:37 AM,7:21 PM,-11,-10,-5,-10,23,13,62,0,1013,-2,10,272,16,83706,0
2/20/2018,-6,-12,0,10.9,2,32,11:14 AM,No moonset,8:35 AM,7:22 PM,-17,-14,-9,-14,15,17,52,0,1027,-6,10,265,9,83706,0
2/21/2018,-1,-8,0.1,8.5,2,40,11:45 AM,12:36 AM,8:34 AM,7:24 PM,-14,-9,-5,-9,18,59,49,0.1,1025,-1,10,94,10,83706,1
2/22/2018,-2,-6,1.7,8.5,1,47,12:21 PM,1:44 AM,8:32 AM,7:25 PM,-8,-7,-4,-7,12,71,75,2,1020,-2,9,233,8,83706,1
2/23/2018,-4,-10,0,11,2,55,1:02 PM,2:52 AM,8:31 AM,7:26 PM,-12,-12,-7,-12,16,16,66,0,1030,-4,10,296,10,83706,0
2/24/2018,0,-7,0.3,5.5,1,62,1:50 PM,3:59 AM,8:29 AM,7:28 PM,-7,-8,-4,-8,18,78,79,0.4,1022,0,9,183,11,83706,1
2/25/2018,0,-7,1.7,7,2,70,2:46 PM,5:04 AM,8:27 AM,7:29 PM,-6,-7,-4,-7,18,63,85,2,1022,0,8,168,11,83706,1
2/26/2018,0,-6,0.8,8.6,1,77,3:51 PM,6:03 AM,8:26 AM,7:30 PM,-4,-6,-2,-6,23,70,81,0.9,1015,0,8,273,15,83706,1
2/27/2018,-2,-10,0,11.1,2,85,5:01 PM,6:56 AM,8:24 AM,7:31 PM,-11,-9,-6,-9,10,6,73,0,1024,-2,10,219,5,83706,0
2/28/2018,1,-7,0,7.1,1,93,6:13 PM,7:42 AM,8:22 AM,7:33 PM,-8,-7,-3,-7,24,55,69,0,1022,1,10,114,14,83706,0
3/1/2018,5,-1,2.6,5.6,1,96,7:27 PM,8:21 AM,8:21 AM,7:34 PM,-1,-4,1,-4,47,83,84,4.5,1011,5,7,120,28,83706,1
3/2/2018,3,-2,1.2,11.2,1,100,8:38 PM,8:56 AM,8:19 AM,7:35 PM,-3,-2,2,-2,29,39,72,4.2,1008,3,9,166,17,83706,1
3/3/2018,3,-3,0.5,10.1,2,89,9:48 PM,9:28 AM,8:17 AM,7:37 PM,-6,-5,-1,-5,21,43,67,0.7,1015,3,10,130,12,83706,1
3/4/2018,2,-5,0,11.2,2,82,10:55 PM,9:58 AM,8:16 AM,7:38 PM,-7,-5,-2,-5,14,20,70,0,1022,2,10,143,9,83706,0
3/5/2018,4,-3,0,11.3,2,74,12:00 AM,10:28 AM,8:14 AM,7:39 PM,-6,-2,0,-2,10,29,65,0,1029,4,10,169,6,83706,0
3/6/2018,7,-2,0,11.3,2,67,No moonrise,10:58 AM,8:12 AM,7:40 PM,-6,-2,2,-2,24,4,57,0,1029,7,10,110,14,83706,0
3/7/2018,8,-2,0,10.1,2,60,1:03 AM,11:31 AM,8:11 AM,7:42 PM,-5,0,3,0,23,30,55,0,1024,8,10,120,13,83706,0
3/8/2018,10,2,0,11.3,3,53,2:03 AM,12:06 PM,8:09 AM,7:43 PM,-2,3,6,3,25,37,56,0.3,1016,10,10,127,14,83706,1
3/9/2018,10,5,0,8.6,2,45,3:00 AM,12:46 PM,8:07 AM,7:44 PM,2,6,6,6,8,56,72,3.1,1014,10,10,188,5,83706,1
3/10/2018,10,1,0,11.4,3,38,3:54 AM,1:30 PM,8:05 AM,7:45 PM,-1,4,5,4,13,10,67,0,1018,10,10,128,8,83706,0
