date_time,maxtempC,mintempC,cloudcover,humidity,pressure,tempC,visibility,label
9/26/2019,28,21,62,83,1011,28,7,1
9/27/2019,31,20,43,80,1013,31,10,1
9/28/2019,30,21,35,83,1014,30,10,1
9/29/2019,29,20,57,86,1012,29,7,1
9/30/2019,25,21,60,87,1010,25,8,1
10/1/2019,29,20,44,79,1010,29,10,1
10/2/2019,27,21,53,84,1011,27,9,1
10/3/2019,29,21,66,83,1013,29,8,1
10/4/2019,28,22,44,78,1014,28,10,1
10/5/2019,29,22,49,81,1013,29,9,1
10/6/2019,30,21,22,76,1013,30,10,1
10/7/2019,29,22,27,78,1013,29,10,1
10/8/2019,29,22,38,80,1013,29,10,1
10/9/2019,28,21,49,82,1012,28,10,1
10/10/2019,30,20,42,80,1012,30,10,1
10/11/2019,30,20,41,81,1012,30,9,1
10/12/2019,29,20,51,84,1012,29,8,1
10/13/2019,29,19,47,83,1013,29,9,1
10/14/2019,29,21,43,82,1014,29,10,1
10/15/2019,29,20,32,83,1014,29,9,1
10/16/2019,28,20,50,83,1014,28,8,1
10/17/2019,29,21,50,83,1014,29,8,1
10/18/2019,28,21,41,82,1014,28,9,1
10/19/2019,29,20,13,80,1014,29,9,0
10/20/2019,28,19,37,81,1014,28,9,1
10/21/2019,30,23,38,83,1014,30,9,1
10/22/2019,0,21,82,93,1014,0,9,1
10/23/2019,28,20,38,83,1013,28,8,1
10/24/2019,28,19,40,83,1013,28,9,1
10/25/2019,28,20,47,82,1014,28,9,1
10/26/2019,28,20,38,84,1014,28,9,1
10/27/2019,27,20,45,85,1014,27,8,1
10/28/2019,30,21,43,84,1014,30,8,1
10/29/2019,29,22,54,87,1013,29,9,1
10/30/2019,28,21,31,83,1013,28,8,1
10/31/2019,29,20,27,83,1014,29,7,1
11/1/2019,29,21,42,84,1014,29,8,1
11/2/2019,29,20,35,83,1013,29,8,1
11/3/2019,28,20,23,83,1013,28,8,0
11/4/2019,27,19,9,81,1013,27,10,0
11/5/2019,29,18,44,83,1014,29,8,1
11/6/2019,29,21,38,82,1015,29,9,1
11/7/2019,28,20,32,84,1014,28,7,1
11/8/2019,28,20,51,82,1012,28,8,1
11/9/2019,28,20,48,82,1012,28,10,1
11/10/2019,28,21,47,83,1013,28,10,1
11/11/2019,28,20,56,84,1013,28,9,1
11/12/2019,27,19,52,83,1012,27,9,1
11/13/2019,28,20,57,84,1013,28,9,1
11/14/2019,29,21,39,85,1014,29,9,1
11/15/2019,28,21,53,85,1014,28,8,1
11/16/2019,27,19,58,85,1011,27,9,1
11/17/2019,28,20,54,85,1010,28,9,1
11/18/2019,27,20,62,86,1011,27,8,1
11/19/2019,27,20,58,84,1013,27,10,1
11/20/2019,26,20,49,87,1014,26,9,1
11/21/2019,26,20,74,90,1014,26,9,1
11/22/2019,23,17,63,88,1014,23,7,1
11/23/2019,26,16,10,84,1014,26,7,0
11/24/2019,29,17,8,79,1014,29,9,0
11/25/2019,28,17,1,77,1013,28,10,0
11/26/2019,29,19,14,82,1014,29,8,0
11/27/2019,26,22,48,90,1016,26,5,1
11/28/2019,26,16,43,86,1015,26,6,1
11/29/2019,24,17,34,86,1014,24,8,1
11/30/2019,24,14,39,86,1013,24,10,1
12/1/2019,27,16,22,84,1014,27,10,0
12/2/2019,29,20,14,80,1015,29,9,0
12/3/2019,27,19,42,83,1014,27,8,1
12/4/2019,26,19,44,83,1014,26,8,1
12/5/2019,27,19,40,83,1016,27,10,1
12/6/2019,25,19,52,86,1017,25,8,1
12/7/2019,25,19,69,88,1016,25,6,1
12/8/2019,26,19,63,87,1016,26,7,1
12/9/2019,29,20,31,85,1016,29,7,1
12/10/2019,26,20,42,84,1017,26,8,1
12/11/2019,27,18,21,84,1017,27,9,1
12/12/2019,26,20,9,81,1015,26,10,0
12/13/2019,30,18,9,79,1013,30,10,0
12/14/2019,29,20,23,79,1014,29,10,0
12/15/2019,0,21,67,92,1017,0,10,1
12/16/2019,25,19,54,81,1016,25,10,1
12/17/2019,26,18,34,80,1014,26,10,1
12/18/2019,26,19,27,80,1014,26,10,1
12/19/2019,27,18,48,80,1015,27,10,1
12/20/2019,28,20,20,79,1016,28,10,1
12/21/2019,27,20,14,82,1016,27,10,0
12/22/2019,27,19,32,82,1015,27,8,1
12/23/2019,27,20,5,75,1014,27,10,0
12/24/2019,26,19,7,77,1012,26,10,0
12/25/2019,26,20,38,82,1011,26,9,1
12/26/2019,26,18,55,86,1012,26,7,1
12/27/2019,25,19,27,84,1015,25,8,0
12/28/2019,28,19,12,79,1015,28,9,1
12/29/2019,26,19,56,83,1014,26,7,1
12/30/2019,27,18,51,83,1014,27,7,1
12/31/2019,27,19,73,85,1015,27,8,1
